lat,lon,altitud,tiempo
-38.7359,-72.5904,50,0
-38.7365,-72.5895,52,1
-38.737,-72.5885,48,2
-38.7372,-72.587,55,3
-38.7368,-72.5855,60,4
-38.736,-72.584,58,5
-38.735,-72.583,62,6
-38.734,-72.5825,65,7
-38.733,-72.582,70,8
-38.732,-72.5815,68,9
-38.731,-72.581,72,10
-38.73,-72.5815,75,11
-38.729,-72.582,78,12
-38.728,-72.583,80,13
-38.727,-72.584,82,14
-38.726,-72.585,85,15
-38.727,-72.586,88,16
-38.728,-72.587,90,17
-38.729,-72.588,88,18
-38.73,-72.589,85,19
-38.731,-72.59,82,20
-38.732,-72.5905,78,21
-38.733,-72.59,75,22
-38.734,-72.59,72,23
-38.735,-72.5902,70,24
-38.7359,-72.5904,68,25
